DL,UL,Timestamp,content,A,B,C,D
0,5033.631,0,"Location[gps 40.116456,-88.213993 acc=15 et=+17h57m25s180ms alt=217.0 vel=0.25 bear=55.9 {Bundle[mParcelledData.dataSize=40]}]",15,217,0.25,55.9
7628.511,4896.1,1,"Location[gps 40.116456,-88.213993 acc=15 et=+17h57m25s180ms alt=217.0 vel=0.25 bear=55.9 {Bundle[mParcelledData.dataSize=40]}]",15,217,0.25,55.9
6669.2305,4351.2085,2,"Location[gps 40.116522,-88.214043 acc=7 et=+17h57m30s176ms alt=213.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",7,213,0,0
2420.0752,5471.6724,3,"Location[gps 40.116512,-88.214033 acc=6 et=+17h57m34s171ms alt=216.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",6,216,0,0
4248.827,4598.7324,4,"Location[gps 40.116518,-88.214025 acc=6 et=+17h57m38s171ms alt=215.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",6,215,0,0
5873.1133,5505.292,5,"Location[gps 40.116500,-88.214081 acc=5 et=+17h57m42s183ms alt=217.0 vel=2.25 bear=273.0 {Bundle[mParcelledData.dataSize=40]}]",5,217,2.25,273
4311.7495,5512.702,6,"Location[gps 40.116497,-88.214496 acc=4 et=+17h57m46s171ms alt=213.0 vel=10.0 bear=269.4 {Bundle[mParcelledData.dataSize=40]}]",4,213,10,269.4
6775.3965,5373.2314,7,"Location[gps 40.116499,-88.214988 acc=3 et=+17h57m50s174ms alt=207.0 vel=9.75 bear=270.4 {Bundle[mParcelledData.dataSize=40]}]",3,207,9.75,270.4
7958.0938,6826.5625,8,"Location[gps 40.116505,-88.215625 acc=9 et=+17h57m57s348ms alt=208.0 vel=7.75 bear=271.3 {Bundle[mParcelledData.dataSize=40]}]",9,208,7.75,271.3
7307.8584,5680.9116,9,"Location[gps 40.116505,-88.215625 acc=9 et=+17h57m57s348ms alt=208.0 vel=7.75 bear=271.3 {Bundle[mParcelledData.dataSize=40]}]",9,208,7.75,271.3
0,5580.296,10,"Location[gps 40.116484,-88.216541 acc=6 et=+17h58m5s170ms alt=205.0 vel=14.75 bear=269.6 {Bundle[mParcelledData.dataSize=40]}]",6,205,14.75,269.6
0,6252.2793,11,"Location[gps 40.116509,-88.217409 acc=7 et=+17h58m9s179ms alt=203.0 vel=18.0 bear=270.6 {Bundle[mParcelledData.dataSize=40]}]",7,203,18,270.6
4378.6724,5826.369,12,"Location[gps 40.116550,-88.218237 acc=4 et=+17h58m13s173ms alt=196.0 vel=16.5 bear=269.9 {Bundle[mParcelledData.dataSize=40]}]",4,196,16.5,269.9
6501.418,6277.833,13,"Location[gps 40.116575,-88.218863 acc=4 et=+17h58m17s171ms alt=195.0 vel=11.5 bear=280.2 {Bundle[mParcelledData.dataSize=40]}]",4,195,11.5,280.2
7657.844,6286.398,14,"Location[gps 40.116616,-88.219141 acc=4 et=+17h58m21s170ms alt=192.0 vel=3.0 bear=284.4 {Bundle[mParcelledData.dataSize=40]}]",4,192,3,284.4
2591.5764,6717.0986,15,"Location[gps 40.116600,-88.219203 acc=10 et=+17h58m25s170ms alt=196.0 vel=0.75 bear=291.4 {Bundle[mParcelledData.dataSize=40]}]",10,196,0.75,291.4
8069.929,6639.668,16,"Location[gps 40.116748,-88.219311 acc=10 et=+17h58m29s170ms alt=198.0 vel=7.25 bear=347.8 {Bundle[mParcelledData.dataSize=40]}]",10,198,7.25,347.8
8362.895,4936.5635,17,"Location[gps 40.117188,-88.219318 acc=12 et=+17h58m33s171ms alt=198.0 vel=13.5 bear=1.7 {Bundle[mParcelledData.dataSize=40]}]",12,198,13.5,1.7
2727.5984,5309.5483,18,"Location[gps 40.117816,-88.219321 acc=11 et=+17h58m37s176ms alt=196.0 vel=16.5 bear=359.3 {Bundle[mParcelledData.dataSize=40]}]",11,196,16.5,359.3
6994.013,5149.3467,19,"Location[gps 40.118448,-88.219319 acc=11 et=+17h58m41s174ms alt=195.0 vel=17.25 bear=359.2 {Bundle[mParcelledData.dataSize=40]}]",11,195,17.25,359.2
2708.8906,5239.686,20,"Location[gps 40.119030,-88.219334 acc=11 et=+17h58m45s170ms alt=195.0 vel=16.5 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",11,195,16.5,359.7
2594.982,4612.542,21,"Location[gps 40.119601,-88.219345 acc=11 et=+17h58m49s176ms alt=198.0 vel=15.25 bear=359.0 {Bundle[mParcelledData.dataSize=40]}]",11,198,15.25,359
1653.0923,4388.5044,22,"Location[gps 40.120117,-88.219382 acc=10 et=+17h58m53s171ms alt=199.0 vel=14.25 bear=358.4 {Bundle[mParcelledData.dataSize=40]}]",10,199,14.25,358.4
4156.4077,4248.898,23,"Location[gps 40.120703,-88.219375 acc=10 et=+17h58m57s172ms alt=198.0 vel=16.5 bear=0.1 {Bundle[mParcelledData.dataSize=40]}]",10,198,16.5,0.1
2689.8613,3710.0884,24,"Location[gps 40.121403,-88.219377 acc=11 et=+17h59m1s174ms alt=193.0 vel=19.0 bear=359.0 {Bundle[mParcelledData.dataSize=40]}]",11,193,19,359
83.63821,5923.8765,25,"Location[gps 40.122036,-88.219386 acc=12 et=+17h59m5s180ms alt=193.0 vel=18.5 bear=359.2 {Bundle[mParcelledData.dataSize=40]}]",12,193,18.5,359.2
3536.1365,6077.0586,26,"Location[gps 40.122664,-88.219365 acc=12 et=+17h59m9s178ms alt=193.0 vel=18.25 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",12,193,18.25,359.7
4452.7197,5012.511,27,"Location[gps 40.123396,-88.219393 acc=13 et=+17h59m13s170ms alt=194.0 vel=20.0 bear=359.0 {Bundle[mParcelledData.dataSize=40]}]",13,194,20,359
4828.316,5505.292,28,"Location[gps 40.124086,-88.219442 acc=11 et=+17h59m17s186ms alt=194.0 vel=19.0 bear=359.4 {Bundle[mParcelledData.dataSize=40]}]",11,194,19,359.4
2992.0928,5842.992,29,"Location[gps 40.124826,-88.219463 acc=11 et=+17h59m21s171ms alt=196.0 vel=19.0 bear=359.5 {Bundle[mParcelledData.dataSize=40]}]",11,196,19,359.5
6175.9243,5349.172,30,"Location[gps 40.125493,-88.219441 acc=11 et=+17h59m25s170ms alt=193.0 vel=18.75 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",11,193,18.75,359.7
4707.4644,5365.1875,31,"Location[gps 40.126177,-88.219427 acc=12 et=+17h59m29s170ms alt=190.0 vel=18.75 bear=359.8 {Bundle[mParcelledData.dataSize=40]}]",12,190,18.75,359.8
8212.677,5389.3916,32,"Location[gps 40.126821,-88.219404 acc=12 et=+17h59m33s171ms alt=189.0 vel=18.5 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",12,189,18.5,359.7
4735.6865,5239.686,33,"Location[gps 40.127490,-88.219406 acc=11 et=+17h59m37s180ms alt=187.0 vel=19.0 bear=359.5 {Bundle[mParcelledData.dataSize=40]}]",11,187,19,359.5
